StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
206400,베노티앤알,,843.0,60715,0.27,↑,909.1,1014.75,24.7,-59.12,-50.45,89.86,172834714,0.12,6.0,★☆☆☆☆,OK
160550,NEW,,1128.0,13125,0.22,→,1133.0,1314.37,41.41,-30.75,-42.26,71.93,218357535,0.21,10.5,★☆☆☆☆,OK
288620,에스프리즘,,4505.0,16259,0.95,↑,4574.0,7302.0,38.57,-664.4,-809.43,361.07,99015632,0.81,40.5,★★☆☆☆,OK
388610,지에프씨생명과학,,5900.0,9493,0.81,↑,5438.75,6750.25,60.56,-51.85,-199.06,520.71,47781973,0.82,41.0,★★★☆☆,OK
262840,아이퀘스트,,2965.0,3960,0.18,↓,2896.25,3135.17,52.99,-14.71,-43.92,163.57,39457475,0.22,11.0,★☆☆☆☆,OK
351330,이삭엔지니어링,,3780.0,11565,0.44,↑,3780.75,5453.0,45.2,-341.23,-442.16,315.0,102765378,0.44,22.0,★★☆☆☆,OK
278650,HLB바이오스텝,,1800.0,105059,0.44,↓,2358.5,3606.42,28.45,-401.02,-400.14,324.71,98750391,0.21,10.5,★☆☆☆☆,OK
089150,케이씨티,,1826.0,15936,0.2,→,1855.35,2379.37,43.29,-94.51,-125.43,144.21,924119877,0.19,9.5,★☆☆☆☆,OK
053950,경남제약,,1596.0,71256,0.76,→,1596.45,2222.93,44.95,-119.76,-162.3,115.14,209685530,0.76,38.0,★★☆☆☆,OK
105550,엣지파운드리,,397.0,0,,→,403.45,602.95,39.29,-39.22,-51.61,160.0,181724324,,,☆☆☆☆☆,Data Missing
258830,세종메디칼,,412.0,0,,→,412.0,412.0,,-0.0,-0.0,412.0,967233328,,,☆☆☆☆☆,Data Missing
079000,와토스코리아,,4340.0,16475,0.31,↓,4555.75,5642.17,38.87,-297.17,-320.7,292.5,42291413,0.27,13.5,★☆☆☆☆,OK
103840,우양,,1899.0,17252,0.32,↓,1937.6,2333.27,28.41,-68.26,-85.36,118.93,550821825,0.21,10.5,★☆☆☆☆,OK
031510,오스템,,1108.0,54537,0.59,↓,1085.25,1081.65,62.27,10.79,6.75,56.93,440564630,0.68,34.0,★★☆☆☆,OK
035460,기산텔레콤,,2080.0,54458,0.52,↑,2127.5,2844.75,45.63,-157.61,-193.28,141.21,580492569,0.53,26.5,★★☆☆☆,OK
332290,누보,,776.0,101710,0.35,↓,796.9,981.05,46.48,-39.76,-50.36,73.07,792933013,0.36,18.0,★☆☆☆☆,OK
297570,아틀라스링크,,893.0,46401,0.48,↓,1075.5,1249.53,23.32,-73.2,-58.98,69.36,1385439958,0.21,10.5,★☆☆☆☆,OK
452300,캡스톤파트너스,,2175.0,67404,0.82,↑,2229.5,2973.33,44.04,-161.94,-199.98,163.21,239585612,0.81,40.5,★★☆☆☆,OK
133750,메가엠디,,1318.0,6343,0.43,→,1354.85,1512.65,24.35,-42.15,-46.39,49.29,1420297773,0.24,12.0,★☆☆☆☆,OK
066360,체리부로,,642.0,35497,0.56,↓,680.25,821.68,37.5,-29.94,-33.47,35.79,327347777,0.48,24.0,★★☆☆☆,OK
